"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@angular/animations","13.3.12","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fanimations"
"nodejs","@angular/common","13.3.12","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcommon"
"nodejs","@angular/compiler","13.3.12","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcompiler"
"nodejs","@angular/compiler","8.2.14","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcompiler"
"nodejs","@angular/core","13.3.12","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcore"
"nodejs","@angular/forms","13.3.12","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fforms"
"nodejs","@angular/platform-browser","13.3.12","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser"
"nodejs","@angular/platform-browser-dynamic","13.3.12","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser-dynamic"
"nodejs","@angular/router","13.3.12","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Frouter"
"nodejs","@biesbjerg/ngx-translate-extract","4.2.0","MIT","Copyright (c) 2017 Kim Biesbjerg","https://www.npmjs.com/package/%40biesbjerg%2Fngx-translate-extract"
"nodejs","@biesbjerg/ngx-translate-extract-marker","1.0.0","MIT","Copyright (c) 2019 Kim Biesbjerg","https://www.npmjs.com/package/%40biesbjerg%2Fngx-translate-extract-marker"
"nodejs","@colors/colors","1.5.0","MIT","Copyright (c) Marak Squires","https://www.npmjs.com/package/%40colors%2Fcolors"
"nodejs","@fortawesome/fontawesome-free","5.15.4","MIT","Copyright (c) 2024 Fonticons, Inc. (https://fontawesome.com)with Reserved Font Name: Font Awesome.","https://www.npmjs.com/package/%40fortawesome%2Ffontawesome-free"
"nodejs","@isaacs/cliui","8.0.2","ISC","Copyright (c) 2015, Contributors","https://www.npmjs.com/package/%40isaacs%2Fcliui"
"nodejs","@isaacs/string-locale-compare","1.1.0","ISC","Copyright (c) Isaac Z. Schlueter","https://www.npmjs.com/package/%40isaacs%2Fstring-locale-compare"
"nodejs","@ng-bootstrap/ng-bootstrap","12.1.2","MIT","Copyright (c) 2015-2018 Angular ng-bootstrap team","https://www.npmjs.com/package/%40ng-bootstrap%2Fng-bootstrap"
"nodejs","@ng-select/ng-select","8.3.0","MIT","Copyright (c) Andžej Maciusovič","https://www.npmjs.com/package/%40ng-select%2Fng-select"
"nodejs","@ngx-translate/core","14.0.0","MIT","Copyright (c) 2023 Olivier Combe","https://www.npmjs.com/package/%40ngx-translate%2Fcore"
"nodejs","@ngx-translate/http-loader","7.0.0","MIT","Copyright (c) 2023 Olivier Combe","https://www.npmjs.com/package/%40ngx-translate%2Fhttp-loader"
"nodejs","@npmcli/arborist","6.3.0","ISC","Copyright (c) 2000-2006, The Perl Foundation.","https://www.npmjs.com/package/%40npmcli%2Farborist"
"nodejs","@npmcli/config","6.2.1","ISC","Copyright (c) 2000-2006, The Perl Foundation.","https://www.npmjs.com/package/%40npmcli%2Fconfig"
"nodejs","@npmcli/disparity-colors","3.0.0","ISC","Copyright (c) npm Inc.","https://www.npmjs.com/package/%40npmcli%2Fdisparity-colors"
"nodejs","@npmcli/fs","1.1.1","ISC","Copyright npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Ffs"
"nodejs","@npmcli/fs","3.1.0","ISC","Copyright npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Ffs"
"nodejs","@npmcli/git","2.1.0","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Fgit"
"nodejs","@npmcli/git","4.1.0","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Fgit"
"nodejs","@npmcli/installed-package-contents","1.0.7","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Finstalled-package-contents"
"nodejs","@npmcli/installed-package-contents","2.0.2","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Finstalled-package-contents"
"nodejs","@npmcli/map-workspaces","3.0.4","ISC","Copyright npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Fmap-workspaces"
"nodejs","@npmcli/metavuln-calculator","5.0.1","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Fmetavuln-calculator"
"nodejs","@npmcli/name-from-folder","2.0.0","ISC","Copyright npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Fname-from-folder"
"nodejs","@npmcli/node-gyp","3.0.0","ISC","Copyright (c) 2023 by GitHub Inc.","https://www.npmjs.com/package/%40npmcli%2Fnode-gyp"
"nodejs","@npmcli/package-json","4.0.1","ISC","Copyright GitHub Inc.","https://www.npmjs.com/package/%40npmcli%2Fpackage-json"
"nodejs","@npmcli/promise-spawn","6.0.2","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Fpromise-spawn"
"nodejs","@npmcli/query","3.0.0","ISC","Copyright npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Fquery"
"nodejs","@npmcli/run-script","2.0.0","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Frun-script"
"nodejs","@npmcli/run-script","6.0.2","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Frun-script"
"nodejs","@phenomnomnominal/tsquery","3.0.0","MIT","Copyright (c) 2023 Craig Spence","https://www.npmjs.com/package/%40phenomnomnominal%2Ftsquery"
"nodejs","@pkgjs/parseargs","0.11.0","MIT","Copyright Node.js contributors. All rights reserved.","https://www.npmjs.com/package/%40pkgjs%2Fparseargs"
"nodejs","@popperjs/core","2.11.8","MIT","Copyright (c) 2021 Floating UI contributors","https://www.npmjs.com/package/%40popperjs%2Fcore"
"nodejs","@sigstore/protobuf-specs","0.1.0","Apache-2.0","Copyright 2023 The Sigstore Authors.","https://www.npmjs.com/package/%40sigstore%2Fprotobuf-specs"
"nodejs","@sigstore/tuf","1.0.2","Apache-2.0","Copyright 2023 The Sigstore Authors","https://www.npmjs.com/package/%40sigstore%2Ftuf"
"nodejs","@tootallnate/once","2.0.0","MIT","Copyright (c) 2020 Nathan Rajlich","https://www.npmjs.com/package/%40tootallnate%2Fonce"
"nodejs","@tufjs/canonical-json","1.0.0","MIT","Copyright (c) 2022 GitHub and the TUF Contributors","https://www.npmjs.com/package/%40tufjs%2Fcanonical-json"
"nodejs","@tufjs/models","1.0.4","MIT","Copyright (c) 2022 GitHub and the TUF Contributors","https://www.npmjs.com/package/%40tufjs%2Fmodels"
"nodejs","abbrev","2.0.0","ISC","Copyright (c) Isaac Z. Schlueter and Contributors","https://www.npmjs.com/package/abbrev"
"nodejs","abort-controller","3.0.0","MIT","Copyright (c) 2017 Toru Nagashima","https://www.npmjs.com/package/abort-controller"
"nodejs","agent-base","6.0.2","MIT","","https://www.npmjs.com/package/agent-base"
"nodejs","agentkeepalive","4.3.0","MIT","Copyright(c) node-modules and other contributors.Copyright(c) 2012 - 2015 fengmk2 <fengmk2@gmail.com>","https://www.npmjs.com/package/agentkeepalive"
"nodejs","aggregate-error","3.1.0","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)","https://www.npmjs.com/package/aggregate-error"
"nodejs","ansi-align","3.0.1","ISC","Copyright (c) 2016, Contributors","https://www.npmjs.com/package/ansi-align"
"nodejs","ansi-escapes","4.3.2","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)","https://www.npmjs.com/package/ansi-escapes"
"nodejs","ansi-regex","5.0.1","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)","https://www.npmjs.com/package/ansi-regex"
"nodejs","ansi-regex","6.0.1","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)","https://www.npmjs.com/package/ansi-regex"
"nodejs","ansi-styles","4.3.0","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)","https://www.npmjs.com/package/ansi-styles"
"nodejs","aproba","2.0.0","ISC","Copyright (c) 2015, Rebecca Turner <me@re-becca.org>","https://www.npmjs.com/package/aproba"
"nodejs","archy","1.0.0","MIT","","https://www.npmjs.com/package/archy"
"nodejs","are-we-there-yet","4.0.0","ISC","Copyright npm, Inc.","https://www.npmjs.com/package/are-we-there-yet"
"nodejs","balanced-match","1.0.2","MIT","Copyright (c) 2013 Julian Gruber &lt;julian@juliangruber.com&gt;","https://www.npmjs.com/package/balanced-match"
"nodejs","base64-js","1.5.1","MIT","Copyright (c) 2014 Jameson Little","https://www.npmjs.com/package/base64-js"
"nodejs","bin-links","4.0.2","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/bin-links"
"nodejs","binary-extensions","2.2.0","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)Copyright (c) Paul Miller (https://paulmillr.com)","https://www.npmjs.com/package/binary-extensions"
"nodejs","bootstrap","5.3.2","MIT","Copyright (c) 2011-2024 The Bootstrap Authors","https://www.npmjs.com/package/bootstrap"
"nodejs","boxen","4.2.0","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)","https://www.npmjs.com/package/boxen"
"nodejs","brace-expansion","2.0.1","MIT","Copyright (c) 2013 Julian Gruber <julian@juliangruber.com>","https://www.npmjs.com/package/brace-expansion"
"nodejs","buffer","6.0.3","MIT","Copyright (c) Feross Aboukhadijeh, and other contributors.","https://www.npmjs.com/package/buffer"
"nodejs","builtins","5.0.1","MIT","Copyright (c) 2015 Julian Gruber","https://www.npmjs.com/package/builtins"
"nodejs","cacache","17.1.3","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/cacache"
"nodejs","chalk","5.3.0","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)","https://www.npmjs.com/package/chalk"
"nodejs","chownr","2.0.0","ISC","Copyright","https://www.npmjs.com/package/chownr"
"nodejs","ci-info","3.8.0","MIT","Copyright (c) 2016 Thomas Watson Steen","https://www.npmjs.com/package/ci-info"
"nodejs","cidr-regex","3.1.1","BSD-2-Clause","Copyright (c) silverwindAll rights reserved.","https://www.npmjs.com/package/cidr-regex"
"nodejs","clean-stack","2.2.0","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)","https://www.npmjs.com/package/clean-stack"
